,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI = 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI = 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Man  Blood sugar level - high (>140 mg/dl) (%),Woman Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),Man Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),ClusterClass,score,state
805,4.5,4.6,18.7,31.7,27.55,26.5,15.149999999999999,12.5,20.0,10.0,17.0,1,0.17109090909090907,Nicobars
806,14.6,7.2,29.7,46.1,32.35,24.1,14.399999999999999,43.0,88.0,2.0,27.0,2,0.2985909090909091,North  & Middle Andaman
807,19.1,11.3,25.6,31.4,34.85,33.5,15.66,44.0,50.5,8.0,33.0,2,0.27900909090909093,South Andaman
808,24.5,21.4,20.1,20.2,24.85,21.7,15.299999999999999,28.0,53.0,6.0,15.0,2,0.22731818181818178,Anantapur
809,23.6,19.2,22.2,25.6,24.05,24.1,13.92,40.5,45.5,2.0,15.23076,2,0.23263705454545455,Chittoor
810,18.2,15.2,32.2,24.7,34.55,47.6,19.71,23.0,52.0,6.0,11.0,2,0.25832727272727274,East Godavari
811,12.6,17.4,38.8,32.8,30.25,29.3,23.67,38.5,98.0,6.0,15.23076,2,0.3114097818181818,Guntur
812,14.9,16.1,40.9,38.6,30.0,26.1,19.2,56.0,9.0,7.0,18.0,1,0.25072727272727274,Krishna
813,23.7,15.6,20.3,26.7,26.65,27.1,16.47,25.5,5.0,9.0,22.0,1,0.19820000000000004,Kurnool
814,17.9,12.7,29.3,34.8,29.7,28.5,17.34,35.0,27.5,7.0,28.0,1,0.24339999999999995,Prakasam
815,18.8,12.9,30.2,28.2,29.65,35.7,14.939999999999998,47.5,36.5,9.0,28.0,1,0.26489999999999997,Sri Potti Sriramulu Nellore
