,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI = 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI = 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Man  Blood sugar level - high (>140 mg/dl) (%),Woman Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),Man Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),ClusterClass,score,state
0,4.5,4.6,18.7,31.7,27.55,26.5,15.149999999999999,12.5,20.0,10.0,17.0,1,0.17109090909090907,Nicobars
1,14.5,8.4,30.0,43.2,32.35,24.8,14.19,45.0,99.0,2.0,24.0,2,0.30676363636363635,North  & Middle Andaman
2,13.4,9.4,33.7,36.5,33.5,34.3,14.879999999999999,50.5,82.0,8.0,46.0,2,0.32925454545454547,South Andaman
3,20.2,20.2,26.5,28.8,26.35,22.6,15.899999999999999,34.5,44.5,9.0,39.0,2,0.2614090909090909,Anantapur
4,21.0,16.8,28.5,30.8,24.4,20.3,13.98,45.0,44.5,1.0,15.38461,2,0.23787691818181814,Chittoor
5,15.9,12.8,36.4,28.0,32.3,34.3,18.93,35.5,64.5,6.0,29.0,2,0.2851181818181818,East Godavari
6,11.3,15.4,45.1,39.0,28.95,24.9,20.429999999999996,46.5,95.0,9.0,15.38461,2,0.3190587363636363,Guntur
7,13.5,12.4,45.5,46.6,29.7,22.6,17.43,62.5,24.5,6.0,20.0,1,0.27339090909090913,Krishna
8,21.6,13.6,24.9,31.7,27.25,26.6,16.349999999999998,26.0,12.0,8.0,20.0,1,0.2072727272727273,Kurnool
9,16.9,13.4,32.5,33.6,28.85,23.4,16.889999999999997,41.0,25.0,5.0,20.0,1,0.2332181818181818,Prakasam
10,17.0,17.5,35.0,32.0,29.55,41.3,15.12,47.5,31.5,11.0,20.0,1,0.27042727272727274,Sri Potti Sriramulu Nellore
11,20.5,15.2,24.4,18.9,35.9,29.3,21.179999999999996,41.5,62.0,9.0,22.0,2,0.2726181818181818,Srikakulam
12,18.9,12.1,28.8,29.0,33.2,28.2,19.349999999999998,33.0,37.0,14.0,17.0,1,0.24595454545454548,Visakhapatnam
