,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI = 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI = 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Man  Blood sugar level - high (>140 mg/dl) (%),Woman Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),Man Very high (Systolic =180 mm of Hg and/or Diastolic =110 mm of Hg) (%),ClusterClass,score,state
623,10.1,8.2,38.4,39.8,32.7,34.8,14.46,54.5,102.5,7.0,54.0,1,0.36041818181818175,South Andaman
624,9.3,12.5,55.2,48.1,26.75,18.5,15.66,60.5,90.5,13.0,8.5,1,0.3259181818181819,Guntur
625,11.0,5.7,53.9,61.3,29.15,15.9,13.139999999999999,74.5,54.5,3.0,23.0,1,0.3137181818181818,Krishna
626,10.6,10.4,41.6,40.2,31.5,17.9,17.22,45.0,17.5,13.0,11.0,0,0.23265454545454542,Visakhapatnam
627,13.1,14.6,39.6,52.1,27.6,9.9,15.629999999999999,51.5,86.5,3.0,8.5,1,0.29275454545454543,Y.S.R.
628,9.0,11.4,29.8,27.1,24.05,17.7,16.95,27.0,27.0,31.0,28.0,0,0.22636363636363638,Papumpare
630,19.9,14.3,25.7,21.0,25.85,23.4,14.28,21.5,34.5,3.0,3.0,0,0.1876636363636363,Patna
631,18.2,30.7,29.1,23.7,23.15,12.5,11.94,43.5,70.0,11.0,22.0,1,0.2689,Durg
632,20.5,24.7,26.8,21.6,19.3,13.8,9.15,33.5,57.5,4.0,14.0,2,0.22259090909090906,Korba
633,18.1,11.5,19.6,21.5,17.0,10.7,8.52,25.5,19.5,7.0,11.0,0,0.15447272727272732,Korea
634,17.6,29.3,26.2,19.3,24.3,17.8,15.03,36.0,73.5,3.0,39.0,1,0.27366363636363633,Raipur
635,12.9,12.2,32.4,30.3,30.25,22.1,21.599999999999998,27.5,45.0,6.0,4.0,2,0.22204545454545457,Daman
636,12.6,19.4,34.3,19.1,28.6,13.3,22.77,31.0,13.0,3.0,32.0,0,0.20824545454545457,Diu
637,9.7,11.0,35.6,17.0,24.4,23.6,23.16,36.0,50.0,8.0,1.44444,2,0.21809494545454547,Central
638,9.1,17.6,43.7,36.0,19.35,15.3,14.61,28.0,51.5,14.0,1.44444,2,0.22782221818181816,East
639,11.1,8.9,27.3,25.1,28.9,29.1,20.25,24.0,46.5,2.0,1.44444,2,0.20417676363636364,New Delhi
640,12.7,13.3,31.2,27.3,16.7,19.4,13.98,61.0,61.5,5.0,1.44444,1,0.23956767272727272,North East
641,14.6,28.9,36.6,14.5,25.45,28.5,22.02,38.0,36.0,5.0,1.44444,2,0.22819494545454538,North West
642,12.6,17.9,38.4,23.2,25.8,29.9,18.51,29.5,63.5,13.0,1.44444,2,0.2488676727272727,North
643,14.0,12.3,35.2,28.2,30.45,26.1,19.08,40.0,59.0,8.0,13.0,2,0.25939090909090906,South West
644,14.2,12.5,32.5,29.9,29.3,8.6,20.37,33.0,55.0,5.0,1.44444,2,0.21983130909090906,South
645,10.4,16.0,33.6,22.5,33.0,21.3,19.439999999999998,32.5,41.5,5.0,1.44444,2,0.2151676727272727,West
648,19.1,22.9,34.0,29.4,30.65,22.1,22.229999999999997,30.5,28.0,5.0,7.0,0,0.22807272727272723,Ahmadabad
649,21.3,14.6,35.2,38.7,22.35,14.4,16.56,32.0,43.0,15.0,14.0,2,0.24282727272727272,Anand
650,18.6,20.0,35.6,23.2,25.75,9.4,14.939999999999998,34.0,42.0,18.0,21.0,2,0.23862727272727274,Bharuch
651,18.2,14.6,34.1,26.1,26.9,18.2,19.92,34.5,74.0,8.0,32.0,1,0.27865454545454543,Bhavnagar
652,27.5,31.4,30.0,20.9,33.8,35.0,23.49,22.5,24.0,9.0,28.0,0,0.25962727272727276,Gandhinagar
653,17.0,12.5,37.9,14.1,34.0,21.0,21.33,32.0,35.5,4.0,10.92857,0,0.21841688181818186,Jamnagar
654,11.9,12.7,34.5,23.4,26.55,20.3,22.8,23.5,59.5,3.0,9.0,2,0.22468181818181812,Junagadh
655,20.8,14.1,20.3,19.7,29.1,20.4,25.02,20.5,20.0,3.0,9.0,0,0.18356363636363637,Kachchh
656,14.9,21.4,35.7,27.7,24.95,15.9,18.33,28.5,77.5,22.0,11.0,1,0.2708,Navsari
657,9.7,11.5,30.5,17.1,30.0,19.7,20.939999999999998,27.0,50.5,2.0,8.0,2,0.20630909090909091,Porbandar
658,15.8,14.7,39.6,21.6,28.0,17.0,15.75,30.5,27.0,9.0,10.92857,0,0.20898051818181818,Rajkot
659,14.9,20.0,39.8,26.8,17.0,9.9,12.089999999999998,29.0,65.0,8.0,10.92857,2,0.23038051818181818,Surat
