,Households with electricity (%),Households with an improved drinking-water source1 (%),Households using improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households with any usual member covered by a health scheme or health insurance (%),ClusterClass,score,state
182,59.64,49.9,86.8,31.439999999999998,4.3,1,0.46416,Nicobars
183,55.379999999999995,45.0,49.1,27.439999999999998,3.3,1,0.36044,North  & Middle Andaman
184,58.14,43.85,76.3,50.56,4.9,1,0.46749999999999997,South Andaman
185,59.4,34.75,35.0,44.72,81.9,2,0.5115399999999999,Anantapur
186,58.92,38.15,30.0,37.6,79.6,2,0.48854,Chittoor
187,59.279999999999994,41.05,50.1,29.84,75.9,2,0.51234,East Godavari
188,59.58,35.85,53.8,56.48,81.8,2,0.57502,Guntur
189,59.279999999999994,31.1,53.3,48.480000000000004,77.8,2,0.5399200000000001,Krishna
190,59.699999999999996,40.9,46.4,43.04,79.2,2,0.5384800000000001,Kurnool
191,58.67999999999999,29.75,49.6,49.6,76.4,2,0.52806,Prakasam
192,58.32,34.4,41.0,37.44,79.4,2,0.50112,Sri Potti Sriramulu Nellore
193,58.08,37.35,26.6,25.28,86.0,2,0.46662,Srikakulam
194,58.62,40.1,26.1,16.72,87.8,2,0.45868000000000003,Visakhapatnam
195,58.5,46.25,18.6,27.84,85.4,2,0.47318,Vizianagaram
196,59.16,36.7,55.6,43.36000000000001,80.7,2,0.55104,West Godavari
197,59.699999999999996,33.3,54.3,48.160000000000004,80.8,2,0.55252,Y.S.R.
198,53.940000000000005,43.25,44.5,17.12,75.9,2,0.46942000000000006,Anjaw
199,45.48,33.8,53.9,16.72,54.2,2,0.40820000000000006,Changlang
200,53.940000000000005,49.65,77.8,19.76,75.2,2,0.5527,Dibang Valley
201,16.98,37.05,23.8,10.72,48.7,0,0.2745,East Kameng
202,57.059999999999995,48.7,71.2,21.36,83.9,2,0.56444,East Siang
203,54.6,46.15,46.6,30.64,67.8,2,0.49158,Kurung Kumey
204,44.64,45.45,58.5,9.28,45.3,1,0.40634,Lohit
205,38.879999999999995,47.45,67.6,24.64,59.4,2,0.47594000000000003,Lower Dibang Valley
206,59.04,48.65,70.6,48.24,68.6,2,0.59026,Lower Subansiri
207,58.379999999999995,43.2,65.4,53.6,53.4,1,0.54796,Papumpare
208,56.940000000000005,47.05,50.7,31.680000000000003,43.4,2,0.45954000000000006,Tawang
209,58.44,33.25,49.7,5.68,56.4,2,0.40693999999999997,Tirap
210,54.0,45.65,55.1,6.720000000000001,74.8,2,0.47254000000000007,Upper Siang
211,51.35999999999999,41.55,56.7,20.64,73.4,2,0.4873,Upper Subansiri
212,58.67999999999999,46.85,57.0,37.839999999999996,52.0,2,0.50474,West Kameng
213,55.32,43.85,71.1,24.080000000000002,67.7,2,0.5241,West Siang
214,49.02,41.15,54.3,12.72,3.7,1,0.32177999999999995,Baksa
215,42.35999999999999,49.1,34.0,14.240000000000002,25.2,0,0.3298,Barpeta
216,52.379999999999995,36.3,40.7,13.440000000000001,8.3,0,0.30223999999999995,Bongaigaon
217,36.779999999999994,27.0,30.7,13.440000000000001,1.8,0,0.21944,Cachar
218,42.18,34.5,29.9,12.4,6.0,0,0.24996000000000002,Chirang
219,45.12,48.4,44.6,10.240000000000002,4.7,0,0.30612,Darrang
220,37.199999999999996,45.55,41.5,6.720000000000001,10.0,0,0.28193999999999997,Dhemaji
221,39.84,44.7,29.3,6.56,7.7,0,0.2562,Dhubri
222,42.3,49.25,57.2,11.76,7.3,1,0.33562000000000003,Dibrugarh
223,42.35999999999999,20.5,54.1,3.5200000000000005,4.4,0,0.24975999999999998,Dima Hasao
224,39.6,42.95,41.9,8.4,12.6,0,0.2909,Goalpara
225,51.84,46.75,58.1,7.440000000000001,9.1,1,0.34646000000000005,Golaghat
226,30.96,23.7,32.5,6.32,9.2,0,0.20536,Hailakandi
227,50.52,42.8,61.6,17.12,12.0,1,0.3680800000000001,Jorhat
228,52.85999999999999,47.0,52.9,27.84,6.7,1,0.3746,Kamrup
229,47.64,25.85,40.4,7.5200000000000005,6.0,0,0.25482,Karbi Anglong
230,41.4,29.65,35.9,12.96,5.0,0,0.24982000000000001,Karimganj
231,43.5,37.75,37.5,11.520000000000001,6.9,0,0.27434,Kokrajhar
232,44.82,35.4,48.9,10.240000000000002,10.1,0,0.29891999999999996,Lakhimpur
233,45.66,48.9,38.1,10.88,26.2,0,0.33948,Morigaon
234,49.26,47.25,43.7,10.08,12.6,0,0.32577999999999996,Nagaon
235,49.74,49.6,52.1,26.880000000000003,10.4,1,0.37744000000000005,Nalbari
236,45.84,47.9,55.4,16.240000000000002,13.9,1,0.35856,Sivasagar
237,46.68,35.25,60.1,12.96,9.4,1,0.32878,Sonitpur
238,42.059999999999995,47.4,45.1,9.76,17.1,0,0.32284,Tinsukia
239,50.34,40.6,53.6,8.32,2.6,1,0.31092,Udalguri
240,27.36,49.8,9.8,1.7600000000000002,5.5,0,0.18844,Araria
241,26.34,49.5,20.8,6.32,24.9,0,0.25572,Arwal
242,34.02,49.4,22.6,8.32,21.4,0,0.27148000000000005,Aurangabad
243,28.02,46.4,13.8,6.48,16.1,0,0.22160000000000002,Banka
244,35.82,49.55,30.5,9.840000000000002,13.5,0,0.27842,Begusarai
245,38.459999999999994,48.65,26.5,8.64,24.3,0,0.2931,Bhagalpur
246,35.64,49.95,21.2,10.64,17.2,0,0.26926,Bhojpur
247,43.199999999999996,47.5,19.0,7.28,21.1,0,0.27616,Kaimur (Bhabua)
248,15.06,49.95,16.3,3.3600000000000003,16.9,0,0.20314000000000002,Katihar
249,31.379999999999995,49.55,28.9,8.4,7.7,0,0.25186000000000003,Khagaria
250,29.7,49.35,14.4,2.4000000000000004,10.2,0,0.2121,Kishanganj
251,46.26,46.45,35.6,9.040000000000001,10.5,0,0.29569999999999996,Lakhisarai
252,30.66,50.0,12.9,4.16,9.4,0,0.21423999999999999,Madhepura
253,31.679999999999996,49.85,18.2,8.72,12.2,0,0.24130000000000001,Madhubani
254,36.779999999999994,44.3,27.4,12.56,6.9,0,0.25588,Munger
255,42.54,49.85,24.1,12.32,10.0,0,0.27762000000000003,Muzaffarpur
256,38.1,49.35,24.4,10.56,29.8,0,0.30442,Nalanda
257,30.299999999999997,49.3,23.8,11.200000000000001,19.3,0,0.2678,Nawada
258,23.16,48.3,12.4,6.24,11.1,0,0.2024,Pashchim Champaran
259,33.54,49.2,22.0,9.200000000000001,8.5,0,0.24488,Saran
260,46.62,47.3,29.6,6.24,20.4,0,0.30032000000000003,Sheikhpura
261,35.4,49.8,20.6,7.920000000000001,7.8,0,0.24304,Sheohar
262,22.32,50.0,17.5,7.28,6.2,0,0.20660000000000003,Sitamarhi
263,30.9,49.3,22.2,13.680000000000001,12.1,0,0.25636000000000003,Siwan
264,35.94,50.0,15.3,4.5600000000000005,8.7,0,0.229,Supaul
265,36.239999999999995,49.05,30.4,12.880000000000003,24.7,0,0.3065399999999999,Vaishali
266,50.279999999999994,46.9,11.9,2.72,73.4,2,0.37039999999999995,Bastar
267,54.35999999999999,46.5,15.4,1.8399999999999999,87.5,2,0.4112,Bijapur
268,59.519999999999996,44.45,25.7,8.16,73.1,2,0.42185999999999996,Bilaspur
269,50.459999999999994,47.3,13.4,3.6,66.5,2,0.36252,Dakshin Bastar Dantewada
270,58.85999999999999,47.7,50.6,6.24,85.3,2,0.4974,Dhamtari
271,52.199999999999996,34.1,12.0,3.6799999999999997,60.3,2,0.32456,Korea
272,58.62,48.5,19.8,6.16,74.3,2,0.41475999999999996,Mahasamund
273,44.1,45.4,8.0,3.12,81.5,2,0.36424,Narayanpur
274,56.58,45.85,20.2,8.24,64.8,2,0.39134,Raigarh
275,58.5,46.7,23.8,6.800000000000001,62.3,2,0.3962,Raipur
276,59.16,45.9,40.0,5.2,77.9,2,0.45632,Rajnandgaon
277,55.32,35.0,13.3,3.9200000000000004,72.8,2,0.36068,Surguja
278,57.18,48.85,34.8,4.800000000000001,81.1,2,0.4534599999999999,Uttar Bastar Kanker
279,59.75999999999999,49.45,59.0,39.92,39.0,1,0.49426,Diu
280,51.35999999999999,49.1,33.7,18.56,21.8,0,0.3490399999999999,Banaskantha
281,56.82,46.6,53.8,22.16,25.5,1,0.40976,Bharuch
282,59.519999999999996,46.65,49.9,15.76,7.2,1,0.35806,Bhavnagar
283,45.54,34.7,14.9,5.760000000000001,24.7,0,0.25120000000000003,Dohad
284,57.72,48.0,47.1,28.560000000000002,29.1,1,0.42096,Gandhinagar
285,59.22,44.1,59.3,30.8,24.9,1,0.43664000000000003,Jamnagar
286,59.4,48.55,67.8,26.32,26.4,1,0.45694,Junagadh
287,56.699999999999996,43.85,57.1,22.32,22.7,1,0.40534,Kachchh
288,57.18,48.8,44.3,18.16,17.4,0,0.37168,Kheda
289,57.48,46.65,60.8,34.56,32.4,1,0.46377999999999997,Mahesena
290,59.22,46.45,59.5,30.8,20.2,1,0.43234000000000006,Rajkot
291,56.82,46.55,40.1,18.240000000000002,25.0,0,0.37342,Sabarkantha
292,56.16,39.35,31.3,14.56,23.6,0,0.32994,Surendranagar
293,54.54,44.15,33.1,12.880000000000003,35.3,0,0.35994,Tapi
294,51.48,33.85,14.7,1.92,39.7,0,0.2833,The Dangs
295,59.459999999999994,46.35,67.1,53.36000000000001,26.2,1,0.50494,Kinnaur
296,59.699999999999996,47.2,65.9,26.480000000000004,21.2,1,0.44096,Kullu
297,58.67999999999999,48.55,52.5,47.92,21.3,1,0.4579,Lahul and Spiti
298,59.699999999999996,48.5,71.7,15.92,37.3,1,0.46624,Mandi
299,59.699999999999996,48.45,69.8,44.24,32.9,1,0.5101800000000001,Shimla
300,59.16,44.6,66.6,23.840000000000003,24.7,1,0.4378,Sirmaur
301,59.459999999999994,47.55,75.4,33.28,13.8,1,0.45897999999999994,Gurgaon
302,59.279999999999994,46.05,83.3,14.64,6.5,1,0.41954,Hisar
303,59.16,46.9,85.6,20.72,10.7,1,0.44616000000000006,Jhajjar
304,59.699999999999996,44.7,82.2,19.28,10.5,1,0.43276000000000003,Jind
305,59.94,49.15,74.9,23.840000000000003,11.5,1,0.43866000000000005,Kaithal
306,59.699999999999996,47.6,79.4,24.72,9.0,1,0.44083999999999995,Sonipat
307,60.0,50.0,72.4,33.12,7.0,1,0.44504,Yamunanagar
308,47.16,35.05,11.6,3.28,9.3,0,0.21277999999999997,Bokaro
309,23.099999999999998,32.45,10.6,6.24,11.6,0,0.16798,Chatra
310,45.6,43.45,9.4,6.56,9.1,0,0.22822,Deoghar
311,45.66,44.25,10.8,3.2,16.7,0,0.24122,Pakur
312,34.26,44.7,10.7,5.44,28.7,0,0.2476,Palamu
313,38.459999999999994,32.0,10.3,1.92,3.3,0,0.17196,Pashchimi Singhbhum
314,50.4,41.55,8.9,3.5200000000000005,18.8,0,0.24633999999999995,Purbi Singhbhum
315,55.74,32.1,30.1,4.64,27.2,0,0.29956,Ramgarh
316,59.75999999999999,41.0,39.0,26.160000000000004,3.6,0,0.33904,Kathua
317,52.199999999999996,43.05,38.1,15.840000000000002,1.7,0,0.30177999999999994,Kishtwar
318,57.779999999999994,49.0,48.9,35.2,1.8,1,0.38536,Kulgam
