,Households with electricity (%),Households with an improved drinking-water source1 (%),Households using improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households with any usual member covered by a health scheme or health insurance (%),ClusterClass,score,state
776,59.64,49.9,86.8,31.439999999999998,4.3,0,0.46416,Nicobars
777,55.5,45.15,49.8,28.400000000000002,3.2,2,0.3641,North  & Middle Andaman
778,59.22,47.75,83.6,61.84,6.8,0,0.5184200000000001,South Andaman
779,59.459999999999994,30.65,46.5,52.720000000000006,76.5,1,0.53166,Anantapur
780,59.16,32.65,39.7,47.44,74.8,1,0.5075,Chittoor
781,59.459999999999994,41.05,56.8,40.24,70.9,1,0.5368999999999999,East Godavari
782,59.699999999999996,37.45,63.2,63.760000000000005,74.5,1,0.5972200000000001,Guntur
783,59.4,35.0,63.2,58.64,71.5,1,0.57548,Krishna
784,59.82,40.85,52.9,50.96000000000001,75.4,1,0.55986,Kurnool
785,58.62,29.1,53.6,52.720000000000006,75.3,1,0.53868,Prakasam
786,58.74,33.85,52.7,45.68000000000001,73.0,1,0.5279400000000001,Sri Potti Sriramulu Nellore
787,58.379999999999995,37.85,33.2,30.400000000000002,82.2,1,0.48406000000000005,Srikakulam
788,59.099999999999994,42.15,55.2,44.88,70.0,1,0.54266,Visakhapatnam
789,58.85999999999999,44.75,31.9,38.480000000000004,79.9,1,0.50778,Vizianagaram
790,59.22,37.15,61.2,49.84,79.0,1,0.57282,West Godavari
791,59.82,27.9,68.7,57.68,73.0,1,0.5742,Y.S.R.
792,54.24,43.6,45.3,19.76,75.3,1,0.47640000000000005,Anjaw
793,46.98,35.0,56.4,21.200000000000003,56.5,1,0.43216,Changlang
794,59.099999999999994,48.8,73.0,51.6,66.0,1,0.5970000000000001,Lower Subansiri
795,59.34,45.75,68.0,67.44,46.6,0,0.57426,Papumpare
796,57.24,47.35,54.3,36.480000000000004,44.2,1,0.47914,Tawang
797,58.74,34.15,54.9,16.8,59.4,1,0.44798,Tirap
798,55.08,46.25,60.0,17.919999999999998,72.1,1,0.5026999999999999,Upper Siang
799,52.98,43.1,59.9,30.8,71.0,1,0.51556,Upper Subansiri
800,58.85999999999999,47.4,58.8,44.88,53.7,1,0.52728,West Kameng
801,56.64,45.3,76.0,38.96000000000001,65.7,1,0.5651999999999999,West Siang
802,49.08,41.2,54.3,13.280000000000001,3.7,2,0.32311999999999996,Baksa
803,43.379999999999995,48.9,34.9,18.080000000000002,25.7,2,0.34192,Barpeta
